StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q10,Q13,Q11,Q11_1,Q2,Q3,Q4,Q4_2_TEXT,Q1_2,Q1_3,Q1_4,Q1_7,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which Market or Retail Location did you visit today?,Were you greeted by a staff member today?,Are you familiar with the Pawsitive Choice program?,Does a product identified as being a Pawsitive Choice item make you more likely to purchase it?,"How clean was the location? (0 = Not Clean at All, 5 = Spotless) - Cleanliness",Did you find everything you were looking for today?,What were you looking for?,Are there any retail products that you would like to see that we don't currently sell? - Selected Choice,Are there any retail products that you would like to see that we don't currently sell? - Yes - Text,Which is the most important factor to you when deciding which product to buy? Drag selections to order of importance. 1 = Most Important. - Recognizable Brand,Which is the most important factor to you when deciding which product to buy? Drag selections to order of importance. 1 = Most Important. - Price,Which is the most important factor to you when deciding which product to buy? Drag selections to order of importance. 1 = Most Important. - Quality,Which is the most important factor to you when deciding which product to buy? Drag selections to order of importance. 1 = Most Important. - Is it Healthy?,Do you review our Monthly Sales signs when you visit?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_2_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID7""}"
2023-11-02 16:27:09,2023-11-02 16:30:25,IP Address,104.38.95.115,100,196,True,2023-11-02 16:30:26,R_2atMKNhA3TDsYcF,,,,,40.4323,-75.1091,qr,EN,Market West,No,No,,5,No,Pantene shampoo,,,3,4,2,1,I didn't know you had sales
2023-11-03 19:14:54,2023-11-03 19:24:17,IP Address,104.38.114.104,100,563,True,2023-11-03 19:24:18,R_e3UKFZ5CaU3tzxL,,,,,40.7957,-77.8618,qr,EN,Market North,Yes,Yes,No,5,Yes,,Not right now,,4,2,1,3,Yes
2023-11-04 15:46:58,2023-11-04 15:48:52,IP Address,192.112.253.13,100,114,True,2023-11-04 15:48:53,R_3GpqCdnhSwC4gNj,,,,,40.7957,-77.8618,qr,EN,Creekside Market,Yes,Yes,No,5,Yes,,Not right now,,2,1,3,4,Yes
2023-11-04 21:02:10,2023-11-04 21:02:50,IP Address,104.38.48.146,100,40,True,2023-11-04 21:02:51,R_1jBONbnO7SW4PZS,,,,,40.7957,-77.8618,qr,EN,Market North,No,Yes,Yes,5,Yes,,Not right now,,,,,,Yes
2023-11-05 13:31:13,2023-11-05 13:32:44,IP Address,174.203.139.65,100,90,True,2023-11-05 13:32:44,R_1jcEXqq79bM3Q7i,,,,,40.3052,-79.5418,qr,EN,Market North,No,Yes,No,4,Yes,,Yes,More Vegan Convenience Items,4,1,3,2,Yes
2023-11-06 11:32:26,2023-11-06 11:35:51,IP Address,104.38.77.168,100,204,True,2023-11-06 11:35:51,R_xAB3Jgta9MHSQed,,,,,40.7957,-77.8618,qr,EN,Market North,Yes,No,,5,Yes,,Yes,More frozen meals,4,2,1,3,I didn't know you had sales
2023-11-06 11:32:36,2023-11-06 11:44:39,IP Address,104.38.101.196,100,722,True,2023-11-06 11:44:39,R_1dmgy8vOlpd3lrT,,,,,40.7957,-77.8618,qr,EN,Market North,Yes,Yes,Yes,5,Yes,,Not right now,,3,1,2,4,Yes
2023-11-06 22:00:45,2023-11-06 22:01:41,IP Address,104.38.108.193,100,55,True,2023-11-06 22:01:42,R_1GNOni2ePmVbudf,,,,,40.7957,-77.8618,qr,EN,Market East,No,Yes,No,4,No,Cornflakes,,,,,,,No
