StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q10,Q11_1,Q2,Q3,Q4,Q4_2_TEXT,Q1_2,Q1_3,Q1_4,Q1_7,Q9,Q9_7_TEXT,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which Market or Retail Location did you visit today?,Were you greeted by a staff member today?,"How clean was the location? (0 = Not Clean at All, 5 = Spotless) - Cleanliness",Did you find everything you were looking for today?,What were you looking for?,Are there any retail products that you would like to see that we don't currently sell? - Selected Choice,Are there any retail products that you would like to see that we don't currently sell? - Yes - Text,Which is the most important factor to you when deciding which product to buy? - Recognizable Brand,Which is the most important factor to you when deciding which product to buy? - Price,Which is the most important factor to you when deciding which product to buy? - Quality,Which is the most important factor to you when deciding which product to buy? - Is it Healthy?,"If applicable, what dietary needs do you consider when deciding what products to buy? - Selected Choice","If applicable, what dietary needs do you consider when deciding what products to buy? - Other - Text",Do you review our Monthly Sales signs when you visit?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_2_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_7_TEXT""}","{""ImportId"":""QID7""}"
2023-04-16 16:33:46,2023-04-16 16:44:47,IP Address,128.118.7.40,100,660,True,2023-04-16 16:44:48,R_32VBU1j9YX94gHu,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,,,Yes
2023-04-10 15:18:27,2023-04-10 15:26:12,IP Address,128.118.7.40,38,464,False,2023-04-17 15:26:13,R_32Y2KKpOOIVTWHd,,,,,,,anonymous,EN,Cafe Metro,,,Yes,,,,,,,,,,
2023-04-17 17:23:39,2023-04-17 17:24:14,IP Address,104.38.54.229,100,34,True,2023-04-17 17:24:15,R_2TGFAlX9MUfpPSi,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,1,4,2,3,Low Sugar,,No
2023-04-17 17:28:15,2023-04-17 17:28:55,IP Address,107.77.203.218,100,40,True,2023-04-17 17:28:56,R_1pQfwTDibT2kcDB,,,,,38.899,-77.1919,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,"Vegetarian,High Protein",,No
2023-04-17 17:32:20,2023-04-17 17:33:05,IP Address,104.38.54.4,100,45,True,2023-04-17 17:33:06,R_C8HI3IIkagVKLK1,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,Other,Food allergy,No
2023-04-17 17:33:19,2023-04-17 17:34:01,IP Address,104.28.76.142,100,41,True,2023-04-17 17:34:01,R_1hXWQVcuvQXOBNH,,,,,40.2693,-76.8957,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,2,3,1,4,,,Yes
2023-04-17 17:33:04,2023-04-17 17:34:08,IP Address,104.38.104.34,100,63,True,2023-04-17 17:34:08,R_3pxfu3qefjnpIjL,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,3,Yes,,Not right now,,,,,,,,No
2023-04-17 17:33:24,2023-04-17 17:34:14,IP Address,174.203.140.239,100,50,True,2023-04-17 17:34:14,R_SB5jbAn2BWaOhtD,,,,,40.3052,-79.5418,anonymous,EN,Market Pollock,Yes,5,No,"Pepsi nitro vanilla ",,,3,1,2,4,,,I didn't know you had sales
